銘柄コード,銘柄名,市場区分,セクター,有効
1301,極洋,プライム,水産・農林業,1
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース,医薬品,1
1332,ニッスイ,プライム,水産・農林業,1
1333,マルハニチロ,プライム,水産・農林業,1
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,情報・通信業,1
1375,ユキグニファクトリー,プライム,水産・農林業,1
1376,カネコ種苗,スタンダード,水産・農林業,1
1377,サカタのタネ,プライム,水産・農林業,1
1379,ホクト,プライム,水産・農林業,1
137A,Ｃｏｃｏｌｉｖｅ,グロース,情報・通信業,1
1380,秋川牧園,スタンダード,水産・農林業,1
1381,アクシーズ,スタンダード,水産・農林業,1
1382,ホーブ,スタンダード,水産・農林業,1
1383,ベルグアース,スタンダード,水産・農林業,1
1384,ホクリヨウ,スタンダード,水産・農林業,1
138A,光フードサービス,グロース,小売業,1
1401,エムビーエス,グロース,建設業,1
1407,ウエストホールディングス,スタンダード,建設業,1
1414,ショーボンドホールディングス,プライム,建設業,1
1417,ミライト・ワン,プライム,建設業,1
1418,インターライフホールディングス,スタンダード,建設業,1
1419,タマホーム,プライム,建設業,1
141A,トライアルホールディングス,グロース,小売業,1
1420,サンヨーホームズ,スタンダード,建設業,1
1429,日本アクア,プライム,建設業,1
142A,ジンジブ,グロース,サービス業,1
1430,ファーストコーポレーション,スタンダード,建設業,1
1431,Ｌｉｂ　Ｗｏｒｋ,グロース,建設業,1
1433,ベステラ,プライム,建設業,1
1434,ＪＥＳＣＯホールディングス,スタンダード,建設業,1
1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード,不動産業,1
1436,グリーンエナジー＆カンパニー,グロース,建設業,1
1438,岐阜造園,スタンダード,建設業,1
143A,イシン,グロース,サービス業,1
1443,技研ホールディングス,スタンダード,建設業,1
1444,ニッソウ,グロース,建設業,1
1446,キャンディル,スタンダード,建設業,1
1447,ＳＡＡＦホールディングス,グロース,建設業,1
1450,ＴＡＮＡＫＥＮ,スタンダード,建設業,1
145A,Ｌ　ｉｓ　Ｂ,グロース,情報・通信業,1
146A,コロンビア・ワークス,スタンダード,不動産業,1
147A,ソラコム,グロース,情報・通信業,1
148A,ハッチ・ワーク,グロース,情報・通信業,1
1491,中外鉱業,スタンダード,非鉄金属,1
149A,シンカ,グロース,情報・通信業,1
150A,ＪＳＨ,グロース,サービス業,1
1514,住石ホールディングス,スタンダード,鉱業,1
1515,日鉄鉱業,プライム,鉱業,1
1518,三井松島ホールディングス,プライム,その他製品,1
151A,ダイブ,グロース,サービス業,1
153A,カウリス,グロース,情報・通信業,1
155A,情報戦略テクノロジー,グロース,情報・通信業,1
156A,マテリアルグループ,グロース,サービス業,1
157A,グリーンモンスター,グロース,サービス業,1
1605,ＩＮＰＥＸ,プライム,鉱業,1
160A,アズパートナーズ,スタンダード,サービス業,1
1662,石油資源開発,プライム,鉱業,1
1663,Ｋ＆Ｏエナジーグループ,プライム,鉱業,1
166A,タスキホールディングス,グロース,不動産業,1
167A,リョーサン菱洋ホールディングス,プライム,卸売業,1
168A,イタミアート,グロース,その他製品,1
1711,ＳＤＳホールディングス,スタンダード,建設業,1
1712,ダイセキ環境ソリューション,スタンダード,建設業,1
1716,第一カッター興業,スタンダード,建設業,1
1717,明豊ファシリティワークス,スタンダード,サービス業,1
1718,美樹工業,スタンダード,建設業,1
1719,安藤・間,プライム,建設業,1
1720,東急建設,プライム,建設業,1
1721,コムシスホールディングス,プライム,建設業,1
1723,日本電技,スタンダード,建設業,1
1724,シンクレイヤ,スタンダード,建設業,1
1726,ビーアールホールディングス,プライム,建設業,1
1736,オーテック,スタンダード,建設業,1
173A,ハンモック,グロース,情報・通信業,1
1758,太洋基礎工業,スタンダード,建設業,1
175A,Ｗｉｌｌ　Ｓｍａｒｔ,グロース,情報・通信業,1
1762,高松コンストラクショングループ,プライム,建設業,1
1764,工藤建設,スタンダード,建設業,1
1766,東建コーポレーション,プライム,建設業,1
1768,ソネック,スタンダード,建設業,1
176A,レジル,グロース,電気・ガス業,1
